Name,Date,Price
PDR,20/09/2022,51.70 
PDR,19/09/2022,51.00 
PDR,16/09/2022,53.50 
PDR,15/09/2022,51.30 
PDR,14/09/2022,50.90 
PDR,13/09/2022,51.80 
PDR,12/09/2022,53.60 
PDR,09/09/2022,53.50 
PDR,08/09/2022,54.00 
PDR,07/09/2022,53.80 
PDR,06/09/2022,55.00 
PDR,05/09/2022,54.90 
PDR,31/08/2022,55.20 
PDR,30/08/2022,55.10 
PDR,29/08/2022,53.80 
PDR,26/08/2022,56.30 
PDR,25/08/2022,56.70 
PDR,24/08/2022,56.40 
PDR,23/08/2022,56.60 
PDR,22/08/2022,56.10 
PDR,19/08/2022,57.60 
PDR,18/08/2022,58.40 
PDR,17/08/2022,58.20 
PDR,16/08/2022,54.50 
PDR,15/08/2022,54.20 
PDR,12/08/2022,53.80 
PDR,11/08/2022,53.60 
PDR,10/08/2022,53.70 
PDR,09/08/2022,53.80 
PDR,08/08/2022,53.80 
PDR,05/08/2022,54.00 
PDR,04/08/2022,54.00 
PDR,03/08/2022,53.80 
PDR,02/08/2022,53.80 
PDR,01/08/2022,53.60 
PDR,29/07/2022,52.60 
PDR,28/07/2022,53.20 
PDR,27/07/2022,52.50 
PDR,26/07/2022,52.30 
PDR,25/07/2022,52.40 
PDR,22/07/2022,52.20 
PDR,21/07/2022,52.90 
PDR,20/07/2022,53.10 
PDR,19/07/2022,53.10 
PDR,18/07/2022,53.10 
PDR,15/07/2022,52.80 
PDR,14/07/2022,52.80 
PDR,13/07/2022,52.50 
PDR,12/07/2022,52.60 
PDR,11/07/2022,52.30 
PDR,08/07/2022,52.80 
PDR,07/07/2022,52.30 
PDR,06/07/2022,52.00 
PDR,05/07/2022,52.00 
PDR,04/07/2022,51.60 
PDR,01/07/2022,52.40 
PDR,30/06/2022,51.80 
PDR,29/06/2022,52.40 
PDR,28/06/2022,53.00 
PDR,27/06/2022,52.60 
PDR,24/06/2022,52.50 
PDR,23/06/2022,52.20 
PDR,22/06/2022,51.80 
PDR,21/06/2022,50.50 
PDR,20/06/2022,49.90 
PDR,17/06/2022,50.30 
PDR,16/06/2022,50.80 
PDR,15/06/2022,48.80 
PDR,14/06/2022,49.90 
PDR,13/06/2022,50.00 
PDR,10/06/2022,52.70 
PDR,09/06/2022,53.20 
PDR,08/06/2022,52.70 
PDR,07/06/2022,52.90 
PDR,06/06/2022,53.70 
PDR,03/06/2022,53.70 
PDR,02/06/2022,54.20 
PDR,01/06/2022,54.50 
PDR,31/05/2022,54.80 
PDR,30/05/2022,55.30 
PDR,27/05/2022,54.30 
PDR,26/05/2022,53.60 
PDR,25/05/2022,52.80 
PDR,24/05/2022,53.20 
PDR,23/05/2022,53.00 
PDR,20/05/2022,53.80 
PDR,19/05/2022,54.00 
