"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 01, 2020","30,573","30,442","30,964","30,345","2.99M","0.43%"
"Aug 31, 2020","30,442","30,247","30,736","29,986","2.86M","0.65%"
"Aug 28, 2020","30,247","29,367","30,638","29,334","5.98M","4.39%"
"Aug 27, 2020","28,976","28,454","28,976","28,454","2.87M","1.83%"
"Aug 26, 2020","28,454","28,454","28,943","28,356","2.65M","-0.34%"
"Aug 25, 2020","28,552","27,541","28,747","27,541","6.74M","4.16%"
"Aug 24, 2020","27,411","27,118","27,639","27,020","3.19M","2.56%"
"Aug 21, 2020","26,727","26,661","26,890","26,564","2.07M","0.37%"
"Aug 20, 2020","26,629","26,661","26,759","26,336","3.06M","-0.12%"
"Aug 19, 2020","26,661","26,499","26,727","26,499","1.15M","0.49%"
"Aug 18, 2020","26,531","26,727","26,759","26,336","1.66M","-0.97%"
"Aug 17, 2020","26,792","27,085","27,085","26,368","2.47M","-1.08%"
"Aug 14, 2020","27,085","26,857","27,313","26,759","2.98M","1.09%"
"Aug 13, 2020","26,792","26,107","26,824","26,075","2.75M","3.01%"
"Aug 12, 2020","26,010","25,944","26,042","25,749","1.36M","0.38%"
"Aug 11, 2020","25,912","26,010","26,010","25,684","1.18M","0.63%"
"Aug 10, 2020","25,749","25,749","26,173","25,749","1.89M","0.51%"
"Aug 07, 2020","25,618","25,781","25,879","25,423","1.82M","-0.88%"
"Aug 06, 2020","25,847","25,912","26,010","25,521","1.66M","0.13%"
"Aug 05, 2020","25,814","25,097","25,879","24,934","2.20M","2.86%"
"Aug 04, 2020","25,097","25,064","25,521","24,934","2.52M","1.32%"
"Aug 03, 2020","24,771","24,184","24,901","23,956","1.97M","2.01%"
"Jul 31, 2020","24,282","23,630","24,347","23,630","2.40M","0.27%"
"Jul 30, 2020","24,217","23,826","24,217","23,728","1.81M","1.78%"
"Jul 29, 2020","23,793","24,119","24,250","23,239","4.31M","-3.95%"
"Jul 28, 2020","24,771","24,543","24,836","24,021","3.84M","3.12%"
"Jul 27, 2020","24,021","24,119","24,804","24,021","8.94M","-6.94%"
"Jul 24, 2020","25,814","26,955","27,020","25,162","5.39M","-4.58%"
"Jul 23, 2020","27,053","27,118","27,216","26,955","1.26M","-0.24%"
"Jul 22, 2020","27,118","27,346","27,379","26,955","1.09M","-0.60%"
"Jul 21, 2020","27,281","27,150","27,313","27,053","1.24M","0.48%"
"Jul 20, 2020","27,150","27,346","27,379","27,118","760.92K","-0.83%"
"Jul 17, 2020","27,379","27,607","27,639","27,379","1.14M","-0.94%"
"Jul 16, 2020","27,639","27,541","27,639","27,379","1.49M","0.24%"
"Jul 15, 2020","27,574","27,183","27,672","27,085","3.15M","2.05%"
"Jul 14, 2020","27,020","26,987","27,020","26,792","1.10M","0.12%"
"Jul 13, 2020","26,987","27,118","27,281","26,857","1.21M","-0.12%"
"Jul 10, 2020","27,020","27,346","27,379","26,987","1.69M","-1.31%"
"Jul 09, 2020","27,379","27,248","27,476","27,216","1.56M","0.48%"
"Jul 08, 2020","27,248","27,281","27,379","27,020","855.45K","-0.12%"
"Jul 07, 2020","27,281","27,346","27,607","27,281","1.86M","0.24%"
"Jul 06, 2020","27,216","26,694","27,313","26,661","1.86M","2.20%"
"Jul 03, 2020","26,629","26,661","26,694","26,531","1.07M","-0.12%"
"Jul 02, 2020","26,661","26,596","26,824","26,401","983.16K","-0.24%"
"Jul 01, 2020","26,727","26,336","26,727","26,336","934.47K","1.49%"
"Jun 30, 2020","26,336","26,824","26,890","26,075","2.23M","-0.86%"
"Jun 29, 2020","26,564","27,085","27,216","26,368","3.29M","-3.21%"
"Jun 26, 2020","27,444","27,379","27,607","27,183","1.35M","0.72%"
"Jun 25, 2020","27,248","27,379","27,541","27,216","2.35M","-1.65%"
"Jun 24, 2020","27,704","27,867","28,128","27,379","2.15M","-0.35%"
"Jun 23, 2020","27,802","27,998","28,161","27,802","2.40M","-0.70%"
"Jun 22, 2020","27,998","27,770","28,291","27,574","2.82M","1.66%"
"Jun 19, 2020","27,541","27,379","27,867","27,281","2.58M","0.84%"
"Jun 18, 2020","27,313","27,053","27,313","27,020","1.08M","0.00%"
"Jun 17, 2020","27,313","27,672","27,672","27,053","2.31M","-0.71%"
"Jun 16, 2020","27,509","27,379","27,574","27,118","2.11M","2.30%"
"Jun 15, 2020","26,890","27,965","27,965","26,694","3.40M","-4.07%"
"Jun 12, 2020","28,030","26,792","28,030","26,401","7.55M","3.37%"
"Jun 11, 2020","27,118","29,171","29,171","27,118","8.33M","-6.94%"
"Jun 10, 2020","29,139","28,845","29,334","28,389","3.03M","0.79%"
"Jun 09, 2020","28,910","29,595","29,595","28,878","3.35M","-1.55%"
"Jun 08, 2020","29,367","28,519","29,758","28,291","11.07M","4.65%"
"Jun 05, 2020","28,063","27,867","28,096","27,737","2.23M","0.70%"
"Jun 04, 2020","27,867","27,900","28,356","27,802","3.04M","0.12%"
"Jun 03, 2020","27,835","27,867","27,965","27,770","2.59M","0.12%"
"Jun 02, 2020","27,802","28,063","28,291","27,802","3.33M","-0.81%"
"Jun 01, 2020","28,030","27,574","28,063","27,574","2.46M","1.65%"
"May 29, 2020","27,574","27,574","27,704","27,411","2.55M","-0.12%"
"May 28, 2020","27,607","27,704","27,933","27,541","2.85M","-0.12%"
"May 27, 2020","27,639","28,324","28,487","27,639","3.96M","-1.97%"
"May 26, 2020","28,193","28,096","28,291","27,900","3.53M","0.46%"
"May 25, 2020","28,063","27,704","28,356","27,444","3.41M","1.29%"
"May 22, 2020","27,704","28,356","28,389","27,704","4.43M","-2.30%"
"May 21, 2020","28,356","28,226","28,780","28,096","4.62M","0.58%"
"May 20, 2020","28,193","28,063","28,259","27,933","3.30M","-0.80%"
"May 19, 2020","28,421","28,519","28,584","28,193","5.02M","1.99%"
"May 18, 2020","27,867","26,727","27,900","26,727","6.55M","4.14%"
"May 15, 2020","26,759","27,118","27,313","26,727","3.32M","-1.09%"
"May 14, 2020","27,053","26,727","27,313","26,727","3.12M","-1.07%"
"May 13, 2020","27,346","26,727","27,411","26,433","5.02M","0.72%"
"May 12, 2020","27,150","27,639","27,639","26,890","5.81M","-2.00%"
"May 11, 2020","27,704","27,378","27,900","27,313","3.77M","1.43%"
"May 08, 2020","27,313","27,053","27,998","27,053","7.09M","1.45%"
"May 07, 2020","26,922","26,661","26,922","26,564","3.62M","1.72%"
"May 06, 2020","26,466","26,075","26,466","25,749","2.54M","2.39%"
"May 05, 2020","25,847","26,010","26,270","25,684","1.57M","-0.12%"
"May 04, 2020","25,879","26,564","26,564","25,879","2.75M","-2.82%"
"Apr 29, 2020","26,629","26,368","26,824","25,749","3.53M","0.99%"
"Apr 28, 2020","26,368","26,564","26,694","26,205","2.70M","-1.58%"
"Apr 27, 2020","26,792","27,346","27,346","26,466","3.36M","-0.96%"
"Apr 24, 2020","27,053","27,216","27,216","26,466","3.08M","-0.60%"
"Apr 23, 2020","27,216","27,704","27,704","26,727","4.04M","1.83%"
"Apr 22, 2020","26,727","25,130","27,053","25,130","5.39M","3.28%"
"Apr 21, 2020","25,879","26,759","27,183","25,618","7.75M","-5.81%"
"Apr 20, 2020","27,476","27,378","27,737","26,824","6.55M","2.80%"
"Apr 17, 2020","26,727","25,390","26,727","25,260","7.42M","6.64%"
"Apr 16, 2020","25,064","24,771","25,097","24,575","4.38M","0.13%"
"Apr 15, 2020","25,032","24,771","25,488","24,641","4.67M","2.67%"
"Apr 14, 2020","24,380","24,510","24,706","23,924","3.11M","-0.27%"
"Apr 13, 2020","24,445","23,467","24,999","23,467","6.62M","4.60%"
"Apr 10, 2020","23,369","23,337","23,761","23,011","3.71M","-1.78%"
"Apr 09, 2020","23,793","24,445","24,543","23,793","4.83M","-1.35%"
"Apr 08, 2020","24,119","23,728","24,315","23,304","6.13M","-0.81%"
"Apr 07, 2020","24,315","24,347","24,347","23,109","17.46M","6.72%"
"Apr 06, 2020","22,783","22,783","22,783","22,783","1.46M","6.88%"
"Apr 03, 2020","21,316","20,501","21,316","20,306","4.96M","6.86%"
"Apr 01, 2020","19,947","19,132","20,273","19,035","4.81M","3.90%"
"Mar 31, 2020","19,198","19,882","20,436","18,350","5.60M","-1.01%"
"Mar 30, 2020","19,393","19,198","21,186","19,198","5.58M","-6.01%"
"Mar 27, 2020","20,632","21,284","21,512","20,632","7.50M","-6.91%"
"Mar 26, 2020","22,164","23,565","23,565","22,164","6.37M","-6.85%"
"Mar 25, 2020","23,793","22,815","23,793","22,489","4.25M","6.11%"
"Mar 24, 2020","22,424","23,402","23,402","21,772","4.70M","-4.18%"
"Mar 23, 2020","23,402","23,858","24,445","23,402","4.08M","-6.99%"
"Mar 20, 2020","25,162","24,706","25,162","24,412","3.29M","2.11%"
"Mar 19, 2020","24,641","25,097","25,325","24,315","3.40M","-4.06%"
"Mar 18, 2020","25,684","25,358","26,238","25,097","4.22M","1.94%"
"Mar 17, 2020","25,195","23,630","25,423","23,337","3.76M","1.71%"
"Mar 16, 2020","24,771","25,097","25,814","24,119","4.58M","-3.80%"
"Mar 13, 2020","25,749","24,673","28,030","24,673","10.83M","-2.83%"
"Mar 12, 2020","26,498","26,498","26,498","26,498","1.58M","-6.98%"
"Mar 11, 2020","28,487","30,638","30,801","28,487","4.75M","-6.92%"
"Mar 10, 2020","30,605","29,627","30,964","29,399","4.29M","-2.09%"
"Mar 09, 2020","31,257","31,257","32,105","31,257","3.15M","-6.98%"
"Mar 06, 2020","33,604","34,028","34,158","33,050","2.48M","-2.27%"
"Mar 05, 2020","34,386","34,549","34,745","34,060","2.02M","-0.47%"
"Mar 04, 2020","34,549","34,516","34,549","34,093","2.04M","-0.37%"
"Mar 03, 2020","34,679","35,136","35,136","34,647","2.04M","-0.10%"
"Mar 02, 2020","34,712","34,712","34,940","34,516","1.42M","0.00%"
"Feb 28, 2020","34,712","34,549","34,940","34,060","3.89M","-1.75%"
"Feb 27, 2020","35,331","34,614","35,331","34,614","6.43M","2.07%"
"Feb 26, 2020","34,614","34,549","35,168","34,386","3.25M","-0.75%"
"Feb 25, 2020","34,875","34,288","34,875","34,288","2.08M","0.75%"
"Feb 24, 2020","34,614","35,201","35,494","34,451","4.67M","-3.98%"
"Feb 21, 2020","36,048","36,048","36,505","35,788","2.71M","0.00%"
"Feb 20, 2020","36,048","36,179","36,309","35,918","1.36M","0.09%"
"Feb 19, 2020","36,016","35,657","36,016","35,494","2.02M","1.47%"
"Feb 18, 2020","35,494","35,038","35,559","34,875","1.71M","1.30%"
"Feb 17, 2020","35,038","34,940","35,038","34,614","1.15M","0.37%"
"Feb 14, 2020","34,908","34,875","35,103","34,516","1.25M","-0.83%"
"Feb 13, 2020","35,201","35,168","35,527","35,168","1.24M","-0.92%"
"Feb 12, 2020","35,527","34,777","35,657","34,777","1.71M","2.35%"
"Feb 11, 2020","34,712","34,549","34,810","34,549","1.19M","0.66%"
"Feb 10, 2020","34,484","34,712","35,038","34,484","2.11M","-2.67%"
"Feb 07, 2020","35,429","35,625","35,625","35,136","1.89M","-0.73%"
"Feb 06, 2020","35,690","35,201","35,951","35,201","2.36M","1.39%"
"Feb 05, 2020","35,201","35,201","35,755","35,201","2.42M","0.09%"
